ID,Source,TMC,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-3824910,Bing,,2,2019-10-30 17:12:00,2019-10-30 17:45:35,44.88974,-93.34974,44.88985,-93.3504,0.033,At MN-100 - Accident.,,MN-62 W,R,Minneapolis,Hennepin,MN,55435,US,US/Central,KMSP,2019-10-30 16:53:00,33.0,25.0,48.0,29.32,10.0,WNW,10.0,0.0,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1414623,MapQuest,241.0,2,2019-05-19 15:49:40,2019-05-19 17:38:32,35.789742,-79.595261,,,0.0,One lane blocked due to accident on NC-49 Northbound at Old Staley Rd.,3297.0,NC Highway 49 N,L,Liberty,Randolph,NC,27298-8554,US,US/Eastern,K5W8,2019-05-19 15:40:00,90.0,90.0,37.0,29.75,10.0,S,10.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1668885,MapQuest,241.0,3,2019-01-28 13:49:37,2019-01-28 14:19:13,29.73361,-95.371323,,,0.0,Right lane blocked due to accident on I-69 Southbound at TX-288.,,I-69 N,R,Houston,Harris,TX,77004,US,US/Central,KMCJ,2019-01-28 13:55:00,71.6,,38.0,29.85,10.0,South,10.4,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2873745,Bing,,2,2017-03-24 14:03:46,2017-03-24 20:03:46,44.966517,-93.254894,44.966517,-93.254894,0.0,At I-94/Exit 16B - Accident.,,MN-55,R,Minneapolis,Hennepin,MN,55404,US,US/Central,KMSP,2017-03-24 13:53:00,44.1,38.6,71.0,30.08,10.0,NE,10.4,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1004586,MapQuest,201.0,3,2019-12-07 14:28:33,2019-12-07 17:46:40,38.88652,-77.22052,,,0.0,Single alternate line traffic due to accident on I-66 Westbound at I-495.,,I-66 W,R,Falls Church,Fairfax County,VA,22043,US,US/Eastern,KDCA,2019-12-07 14:52:00,45.0,41.0,40.0,30.4,10.0,VAR,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-161994,MapQuest,201.0,2,2017-01-18 09:40:05,2017-01-18 10:09:19,41.20956,-96.138802,,,0.01,Accident on 144th St at N St.,4870.0,S 144th St,L,Omaha,Douglas,NE,68137,US,US/Central,KMLE,2017-01-18 09:35:00,33.6,30.6,92.0,30.03,10.0,ESE,3.5,,Clear,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-464503,MapQuest,201.0,2,2017-07-02 11:53:41,2017-07-02 12:37:43,34.030861,-118.43309,,,0.0,Right hand shoulder blocked due to accident on I-405 Northbound near Exits 53 53A 53B I-10.,,I-405 N,R,Los Angeles,Los Angeles,CA,90064,US,US/Pacific,KSMO,2017-07-02 11:51:00,71.1,,68.0,30.01,10.0,Variable,6.9,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2397918,MapQuest,201.0,2,2018-01-29 07:52:24,2018-01-29 08:21:45,33.876934,-118.18618,,,0.0,Right hand shoulder blocked due to accident on CA-91 Westbound at Atlantic Ave.,,CA-91 W,R,Long Beach,Los Angeles,CA,90805,US,US/Pacific,KLGB,2018-01-29 07:53:00,61.0,,41.0,30.1,10.0,West,3.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2845914,Bing,,2,2016-10-04 18:26:13,2016-10-05 00:26:13,37.8443,-122.29767,37.854119,-122.30006,0.691,Between CA-13/Ashby Ave/Bay St and University Ave - Accident.,,I-580 W,R,Emeryville,Alameda,CA,94608,US,US/Pacific,KOAK,2016-10-04 18:53:00,64.9,,61.0,29.98,10.0,WNW,12.7,,Partly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3060325,Bing,,2,2020-12-02 13:58:00,2020-12-03 00:40:53,38.61166,-121.40154,38.610645,-121.400756,0.082,Stationary traffic from Elvyra Way to Parkwood Dr due to accident.,2508.0, Fulton Ave,R,Sacramento,Sacramento,CA,95821-5908,US,US/Pacific,KMCC,2020-12-02 15:45:00,64.0,64.0,34.0,29.94,10.0,SW,5.0,,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1369358,MapQuest,201.0,3,2019-06-21 16:51:11,2019-06-21 19:27:45,41.220917,-96.088326,,,0.0,Left lane closed due to accident on I-80 Eastbound at Exits 445 446 I-680 Exits 1 446.,11290.0,E Cir,R,Omaha,Douglas,NE,68137,US,US/Central,KMLE,2019-06-21 16:55:00,81.0,81.0,63.0,28.62,10.0,SE,3.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
